Search Term,vegan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,12
2004-01-31,12
2004-02-29,11
2004-03-31,11
2004-04-30,11
2004-05-31,11
2004-06-30,12
2004-07-31,12
2004-08-31,12
2004-09-30,13
2004-10-31,16
2004-11-30,14
2004-12-31,12
2005-01-31,12
2005-02-28,13
2005-03-31,12
2005-04-30,13
2005-05-31,12
2005-06-30,12
2005-07-31,13
2005-08-31,12
2005-09-30,12
2005-10-31,15
2005-11-30,14
2005-12-31,13
2006-01-31,13
2006-02-28,13
2006-03-31,12
2006-04-30,12
2006-05-31,13
2006-06-30,14
2006-07-31,13
2006-08-31,13
2006-09-30,13
2006-10-31,15
2006-11-30,15
2006-12-31,13
2007-01-31,14
2007-02-28,13
2007-03-31,13
2007-04-30,16
2007-05-31,14
2007-06-30,13
2007-07-31,14
2007-08-31,14
2007-09-30,15
2007-10-31,20
2007-11-30,17
2007-12-31,17
2008-01-31,17
2008-02-29,17
2008-03-31,16
2008-04-30,17
2008-05-31,19
2008-06-30,18
2008-07-31,17
2008-08-31,16
2008-09-30,17
2008-10-31,19
2008-11-30,19
2008-12-31,17
2009-01-31,17
2009-02-28,17
2009-03-31,18
2009-04-30,16
2009-05-31,17
2009-06-30,17
2009-07-31,17
2009-08-31,17
2009-09-30,18
2009-10-31,22
2009-11-30,20
2009-12-31,21
2010-01-31,20
2010-02-28,21
2010-03-31,21
2010-04-30,19
2010-05-31,19
2010-06-30,19
2010-07-31,20
2010-08-31,20
2010-09-30,20
2010-10-31,23
2010-11-30,22
2010-12-31,27
2011-01-31,28
2011-02-28,28
2011-03-31,28
2011-04-30,24
2011-05-31,24
2011-06-30,26
2011-07-31,27
2011-08-31,27
2011-09-30,28
2011-10-31,32
2011-11-30,31
2011-12-31,33
2012-01-31,32
2012-02-29,31
2012-03-31,32
2012-04-30,30
2012-05-31,32
2012-06-30,34
2012-07-31,31
2012-08-31,32
2012-09-30,30
2012-10-31,32
2012-11-30,32
2012-12-31,36
2013-01-31,36
2013-02-28,38
2013-03-31,32
2013-04-30,34
2013-05-31,33
2013-06-30,33
2013-07-31,34
2013-08-31,33
2013-09-30,32
2013-10-31,37
2013-11-30,36
2013-12-31,38
2014-01-31,37
2014-02-28,37
2014-03-31,36
2014-04-30,33
2014-05-31,33
2014-06-30,34
2014-07-31,32
2014-08-31,29
2014-09-30,30
2014-10-31,35
2014-11-30,33
2014-12-31,34
2015-01-31,33
2015-02-28,36
2015-03-31,32
2015-04-30,33
2015-05-31,36
2015-06-30,38
2015-07-31,38
2015-08-31,37
2015-09-30,39
2015-10-31,47
2015-11-30,43
2015-12-31,49
2016-01-31,52
2016-02-29,52
2016-03-31,54
2016-04-30,58
2016-05-31,57
2016-06-30,56
2016-07-31,52
2016-08-31,48
2016-09-30,55
2016-10-31,69
2016-11-30,87
2016-12-31,58
2017-01-31,54
2017-02-28,56
2017-03-31,56
2017-04-30,54
2017-05-31,61
2017-06-30,96
2017-07-31,95
2017-08-31,78
2017-09-30,77
2017-10-31,82
2017-11-30,83
2017-12-31,89
2018-01-31,84
2018-02-28,83
2018-03-31,77
2018-04-30,73
2018-05-31,78
2018-06-30,77
2018-07-31,74
2018-08-31,71
2018-09-30,70
2018-10-31,81
2018-11-30,77
2018-12-31,82
2019-01-31,78
2019-02-28,77
2019-03-31,75
2019-04-30,72
2019-05-31,79
2019-06-30,75
2019-07-31,76
2019-08-31,74
2019-09-30,76
2019-10-31,100
2019-11-30,90
2019-12-31,94
2020-01-31,88
2020-02-29,66
2020-03-31,72
2020-04-30,73
2020-05-31,77
2020-06-30,78
2020-07-31,76
2020-08-31,72
2020-09-30,73
2020-10-31,74
2020-11-30,74
2020-12-31,76
2021-01-31,75
2021-02-28,73
2021-03-31,72
2021-04-30,72
2021-05-31,68
2021-06-30,72
2021-07-31,73
2021-08-31,65
2021-09-30,71
2021-10-31,76
2021-11-30,70
2021-12-31,81
2022-01-31,73
2022-02-28,79
2022-03-31,76
2022-04-30,68
2022-05-31,68
2022-06-30,70
2022-07-31,66
2022-08-31,65
2022-09-30,63
2022-10-31,68
2022-11-30,67
2022-12-31,66
2023-01-31,63
2023-02-28,62
2023-03-31,60
2023-04-30,55
2023-05-31,60
2023-06-30,57
2023-07-31,56
2023-08-31,53
2023-09-30,54
2023-10-31,59
2023-11-30,60
2023-12-31,66
2024-01-31,58
2024-02-29,57
2024-03-31,50
2024-04-30,50