Search Term,vegan recipes
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,41
2008-12-06,37
2008-12-13,36
2008-12-20,47
2008-12-27,47
2009-01-03,50
2009-01-10,42
2009-01-17,38
2009-01-24,36
2009-01-31,28
2009-02-07,29
2009-02-14,36
2009-02-21,41
2009-02-28,39
2009-03-07,31
2009-03-14,32
2009-03-21,38
2009-03-28,41
2009-04-04,46
2009-04-11,37
2009-04-18,36
2009-04-25,28
2009-05-02,31
2009-05-09,40
2009-05-16,29
2009-05-23,41
2009-05-30,35
2009-06-06,40
2009-06-13,35
2009-06-20,40
2009-06-27,36
2009-07-04,34
2009-07-11,37
2009-07-18,36
2009-07-25,42
2009-08-01,44
2009-08-08,41
2009-08-15,45
2009-08-22,44
2009-08-29,39
2009-09-05,33
2009-09-12,34
2009-09-19,41
2009-09-26,35
2009-10-03,42
2009-10-10,41
2009-10-17,47
2009-10-24,46
2009-10-31,55
2009-11-07,51
2009-11-14,57
2009-11-21,81
2009-11-28,48
2009-12-05,43
2009-12-12,49
2009-12-19,59
2009-12-26,59
2010-01-02,53
2010-01-09,52
2010-01-16,47
2010-01-23,62
2010-01-30,51
2010-02-06,49
2010-02-13,47
2010-02-20,50
2010-02-27,48
2010-03-06,56
2010-03-13,56
2010-03-20,56
2010-03-27,55
2010-04-03,45
2010-04-10,42
2010-04-17,44
2010-04-24,49
2010-05-01,43
2010-05-08,47
2010-05-15,39
2010-05-22,41
2010-05-29,39
2010-06-05,43
2010-06-12,43
2010-06-19,39
2010-06-26,44
2010-07-03,35
2010-07-10,38
2010-07-17,38
2010-07-24,36
2010-07-31,40
2010-08-07,43
2010-08-14,39
2010-08-21,40
2010-08-28,38
2010-09-04,45
2010-09-11,41
2010-09-18,41
2010-09-25,42
2010-10-02,43
2010-10-09,44
2010-10-16,43
2010-10-23,40
2010-10-30,43
2010-11-06,50
2010-11-13,50
2010-11-20,61
2010-11-27,36
2010-12-04,48
2010-12-11,45
2010-12-18,56
2010-12-25,57
2011-01-01,63
2011-01-08,60
2011-01-15,62
2011-01-22,51
2011-01-29,81
2011-02-05,63
2011-02-12,57
2011-02-19,53
2011-02-26,54
2011-03-05,61
2011-03-12,56
2011-03-19,64
2011-03-26,58
2011-04-02,65
2011-04-09,57
2011-04-16,57
2011-04-23,48
2011-04-30,48
2011-05-07,44
2011-05-14,47
2011-05-21,50
2011-05-28,58
2011-06-04,47
2011-06-11,49
2011-06-18,44
2011-06-25,55
2011-07-02,55
2011-07-09,51
2011-07-16,49
2011-07-23,53
2011-07-30,49
2011-08-06,53
2011-08-13,57
2011-08-20,63
2011-08-27,58
2011-09-03,71
2011-09-10,65
2011-09-17,70
2011-09-24,68
2011-10-01,66
2011-10-08,67
2011-10-15,67
2011-10-22,69
2011-10-29,70
2011-11-05,69
2011-11-12,87
2011-11-19,100
2011-11-26,63
2011-12-03,61
2011-12-10,69
2011-12-17,85
2011-12-24,75
2011-12-31,91
2012-01-07,90
2012-01-14,81
2012-01-21,81
2012-01-28,79
2012-02-04,68
2012-02-11,65
2012-02-18,70
2012-02-25,73
2012-03-03,74
2012-03-10,79
2012-03-17,70
2012-03-24,69
2012-03-31,80
2012-04-07,67
2012-04-14,66
2012-04-21,66
2012-04-28,63
2012-05-05,64
2012-05-12,65
2012-05-19,63
2012-05-26,70
2012-06-02,70
2012-06-09,71
2012-06-16,68
2012-06-23,66
2012-06-30,71
2012-07-07,61
2012-07-14,69
2012-07-21,66
2012-07-28,69
2012-08-04,65
2012-08-11,67
2012-08-18,64
2012-08-25,68
2012-09-01,69
2012-09-08,62
2012-09-15,65
2012-09-22,61
2012-09-29,62
2012-10-06,65
2012-10-13,67
2012-10-20,58
2012-10-27,58
2012-11-03,64
2012-11-10,75
2012-11-17,93
2012-11-24,56
2012-12-01,61
2012-12-08,59
2012-12-15,72
2012-12-22,86
2012-12-29,96