Search Term,vegetarian diet plan
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,66
2020-02-01,73
2020-02-08,100
2020-02-15,82
2020-02-22,70
2020-02-29,66
2020-03-07,61
2020-03-14,28
2020-03-21,55
2020-03-28,50
2020-04-04,39
2020-04-11,44
2020-04-18,80
2020-04-25,76
2020-05-02,73
2020-05-09,65
2020-05-16,66
2020-05-23,61
2020-05-30,67
2020-06-06,89
2020-06-13,70
2020-06-20,90
2020-06-27,69
2020-07-04,82
2020-07-11,69
2020-07-18,60
2020-07-25,56
2020-08-01,61
2020-08-08,68
2020-08-15,78
2020-08-22,57
2020-08-29,46
2020-09-05,73
2020-09-12,54
2020-09-19,61
2020-09-26,62
2020-10-03,70
2020-10-10,64
2020-10-17,60
2020-10-24,41
2020-10-31,43
2020-11-07,54
2020-11-14,48
2020-11-21,52
2020-11-28,52
2020-12-05,59
2020-12-12,61
2020-12-19,46
2020-12-26,89
2021-01-02,95
2021-01-09,81
2021-01-16,55
2021-01-23,67
2021-01-30,78
2021-02-06,60
2021-02-13,71
2021-02-20,56
2021-02-27,71
2021-03-06,49
2021-03-13,51
2021-03-20,63
2021-03-27,68
2021-04-03,44
2021-04-10,58
2021-04-17,97
2021-04-24,62
2021-05-01,75
2021-05-08,74
2021-05-15,47
2021-05-22,51
2021-05-29,69
2021-06-05,58
2021-06-12,47
2021-06-19,32
2021-06-26,55
2021-07-03,55
2021-07-10,43
2021-07-17,82
2021-07-24,61
2021-07-31,50
2021-08-07,55
2021-08-14,54
2021-08-21,71
2021-08-28,48
2021-09-04,63
2021-09-11,66
2021-09-18,38
2021-09-25,53
2021-10-02,50
2021-10-09,46
2021-10-16,43
2021-10-23,46
2021-10-30,45
2021-11-06,41
2021-11-13,36
2021-11-20,33
2021-11-27,51
2021-12-04,39
2021-12-11,35
2021-12-18,47
2021-12-25,70
2022-01-01,67
2022-01-08,47
2022-01-15,48
2022-01-22,58
2022-01-29,56
2022-02-05,32
2022-02-12,64
2022-02-19,60
2022-02-26,49
2022-03-05,46
2022-03-12,63
2022-03-19,47
2022-03-26,49
2022-04-02,35
2022-04-09,43
2022-04-16,63
2022-04-23,70
2022-04-30,44
2022-05-07,61
2022-05-14,58
2022-05-21,46
2022-05-28,58
2022-06-04,56
2022-06-11,39
2022-06-18,34
2022-06-25,61
2022-07-02,45
2022-07-09,40
2022-07-16,44
2022-07-23,59
2022-07-30,53
2022-08-06,28
2022-08-13,40
2022-08-20,24
2022-08-27,48
2022-09-03,36
2022-09-10,37
2022-09-17,60
2022-09-24,43
2022-10-01,26
2022-10-08,63
2022-10-15,46
2022-10-22,54
2022-10-29,32
2022-11-05,40
2022-11-12,33
2022-11-19,27
2022-11-26,28
2022-12-03,42
2022-12-10,34
2022-12-17,0
2022-12-24,77
2022-12-31,54
2023-01-07,62
2023-01-14,46
2023-01-21,58
2023-01-28,36
2023-02-04,58
2023-02-11,55
2023-02-18,47
2023-02-25,48
2023-03-04,40
2023-03-11,46
2023-03-18,55
2023-03-25,35
2023-04-01,40
2023-04-08,41
2023-04-15,49
2023-04-22,32
2023-04-29,51
2023-05-06,47
2023-05-13,40
2023-05-20,48
2023-05-27,49
2023-06-03,34
2023-06-10,38
2023-06-17,45
2023-06-24,52
2023-07-01,46
2023-07-08,38
2023-07-15,50
2023-07-22,27
2023-07-29,48
2023-08-05,59
2023-08-12,51
2023-08-19,28
2023-08-26,55
2023-09-02,45
2023-09-09,52
2023-09-16,25
2023-09-23,34
2023-09-30,36
2023-10-07,30
2023-10-14,32
2023-10-21,35
2023-10-28,23
2023-11-04,42
2023-11-11,68
2023-11-18,32
2023-11-25,36
2023-12-02,37
2023-12-09,0
2023-12-16,33
2023-12-23,36
2023-12-30,87
2024-01-06,51
2024-01-13,50
2024-01-20,47
2024-01-27,40
2024-02-03,39
2024-02-10,33
2024-02-17,44
2024-02-24,41
2024-03-02,35
2024-03-09,39
2024-03-16,47
2024-03-23,40
2024-03-30,34
2024-04-06,44
2024-04-13,26
2024-04-20,39
2024-04-27,52
2024-05-04,40
2024-05-11,44
2024-05-18,33
2024-05-25,52