Search Term,recipe
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,40
2020-02-01,38
2020-02-08,38
2020-02-15,37
2020-02-22,34
2020-02-29,33
2020-03-07,36
2020-03-14,49
2020-03-21,58
2020-03-28,62
2020-04-04,70
2020-04-11,67
2020-04-18,66
2020-04-25,59
2020-05-02,61
2020-05-09,57
2020-05-16,52
2020-05-23,49
2020-05-30,43
2020-06-06,46
2020-06-13,46
2020-06-20,49
2020-06-27,51
2020-07-04,47
2020-07-11,45
2020-07-18,46
2020-07-25,45
2020-08-01,45
2020-08-08,44
2020-08-15,41
2020-08-22,42
2020-08-29,41
2020-09-05,43
2020-09-12,39
2020-09-19,39
2020-09-26,40
2020-10-03,41
2020-10-10,45
2020-10-17,44
2020-10-24,46
2020-10-31,38
2020-11-07,46
2020-11-14,52
2020-11-21,87
2020-11-28,44
2020-12-05,51
2020-12-12,60
2020-12-19,89
2020-12-26,61
2021-01-02,42
2021-01-09,44
2021-01-16,46
2021-01-23,46
2021-01-30,47
2021-02-06,48
2021-02-13,50
2021-02-20,40
2021-02-27,41
2021-03-06,37
2021-03-13,38
2021-03-20,39
2021-03-27,44
2021-04-03,37
2021-04-10,34
2021-04-17,38
2021-04-24,36
2021-05-01,38
2021-05-08,36
2021-05-15,35
2021-05-22,35
2021-05-29,36
2021-06-05,31
2021-06-12,37
2021-06-19,36
2021-06-26,39
2021-07-03,38
2021-07-10,37
2021-07-17,36
2021-07-24,38
2021-07-31,37
2021-08-07,36
2021-08-14,38
2021-08-21,39
2021-08-28,39
2021-09-04,39
2021-09-11,38
2021-09-18,36
2021-09-25,37
2021-10-02,39
2021-10-09,40
2021-10-16,41
2021-10-23,43
2021-10-30,43
2021-11-06,45
2021-11-13,51
2021-11-20,89
2021-11-27,42
2021-12-04,48
2021-12-11,53
2021-12-18,90
2021-12-25,60
2022-01-01,52
2022-01-08,51
2022-01-15,50
2022-01-22,47
2022-01-29,51
2022-02-05,49
2022-02-12,45
2022-02-19,47
2022-02-26,41
2022-03-05,44
2022-03-12,43
2022-03-19,41
2022-03-26,41
2022-04-02,41
2022-04-09,49
2022-04-16,42
2022-04-23,40
2022-04-30,38
2022-05-07,38
2022-05-14,39
2022-05-21,44
2022-05-28,43
2022-06-04,43
2022-06-11,41
2022-06-18,45
2022-06-25,47
2022-07-02,49
2022-07-09,46
2022-07-16,46
2022-07-23,47
2022-07-30,48
2022-08-06,45
2022-08-13,44
2022-08-20,45
2022-08-27,43
2022-09-03,44
2022-09-10,44
2022-09-17,44
2022-09-24,45
2022-10-01,44
2022-10-08,46
2022-10-15,47
2022-10-22,48
2022-10-29,46
2022-11-05,49
2022-11-12,56
2022-11-19,96
2022-11-26,46
2022-12-03,50
2022-12-10,60
2022-12-17,94
2022-12-24,68
2022-12-31,52
2023-01-07,48
2023-01-14,51
2023-01-21,47
2023-01-28,51
2023-02-04,49
2023-02-11,48
2023-02-18,47
2023-02-25,44
2023-03-04,46
2023-03-11,48
2023-03-18,46
2023-03-25,45
2023-04-01,52
2023-04-08,45
2023-04-15,42
2023-04-22,41
2023-04-29,44
2023-05-06,41
2023-05-13,41
2023-05-20,44
2023-05-27,44
2023-06-03,42
2023-06-10,46
2023-06-17,45
2023-06-24,47
2023-07-01,54
2023-07-08,44
2023-07-15,44
2023-07-22,43
2023-07-29,43
2023-08-05,43
2023-08-12,42
2023-08-19,44
2023-08-26,43
2023-09-02,44
2023-09-09,44
2023-09-16,45
2023-09-23,42
2023-09-30,42
2023-10-07,46
2023-10-14,46
2023-10-21,46
2023-10-28,47
2023-11-04,50
2023-11-11,59
2023-11-18,100
2023-11-25,47
2023-12-02,52
2023-12-09,60
2023-12-16,80
2023-12-23,78
2023-12-30,61
2024-01-06,53
2024-01-13,57
2024-01-20,49
2024-01-27,44
2024-02-03,48
2024-02-10,47
2024-02-17,44
2024-02-24,41
2024-03-02,40
2024-03-09,44
2024-03-16,42
2024-03-23,50
2024-03-30,41
2024-04-06,40
2024-04-13,40
2024-04-20,38
2024-04-27,42
2024-05-04,42
2024-05-11,39
2024-05-18,41
2024-05-25,42