,Search Term,what the health
0,2016-12-03,0.0
1,2016-12-10,0.0
2,2016-12-17,0.0
3,2016-12-24,0.0
4,2016-12-31,0.0
5,2017-01-07,0.0
6,2017-01-14,0.0
7,2017-01-21,0.0
8,2017-01-28,0.0
9,2017-02-04,0.0
10,2017-02-11,0.0
11,2017-02-18,0.0
12,2017-02-25,0.0
13,2017-03-04,0.0
14,2017-03-11,0.0
15,2017-03-18,0.0
16,2017-03-25,0.0
17,2017-04-01,0.0
18,2017-04-08,2.0
19,2017-04-15,3.0
20,2017-04-22,3.0
21,2017-04-29,3.0
22,2017-05-06,2.0
23,2017-05-13,2.0
24,2017-05-20,1.0
25,2017-05-27,2.0
26,2017-06-03,2.0
27,2017-06-10,6.0
28,2017-06-17,32.0
29,2017-06-24,53.0
30,2017-07-01,67.0
31,2017-07-08,94.0
32,2017-07-15,99.0
33,2017-07-22,100.0
34,2017-07-29,87.0
35,2017-08-05,96.0
36,2017-08-12,62.0
37,2017-08-19,48.0
38,2017-08-26,39.0
39,2017-09-02,34.0
40,2017-09-09,26.0
41,2017-09-16,23.0
42,2017-09-23,21.0
43,2017-09-30,20.0
44,2017-10-07,20.0
45,2017-10-14,17.0
46,2017-10-21,17.0
47,2017-10-28,13.0
48,2017-11-04,13.999999999999998
49,2017-11-11,16.0
50,2017-11-18,6.0
51,2017-11-25,9.0
52,2017-12-02,13.0
53,2017-12-09,10.0
54,2017-12-16,10.0
55,2017-12-23,13.0
56,2017-12-30,15.000000000000002
57,2018-01-06,13.999999999999998
58,2018-01-13,13.0
59,2018-01-20,12.0
60,2018-01-27,12.0
61,2018-02-03,10.0
62,2018-02-10,9.0
63,2018-02-17,10.0
64,2018-02-24,9.0
65,2018-03-03,9.0
66,2018-03-10,8.0
67,2018-03-17,8.0
68,2018-03-24,8.0
69,2018-03-31,8.0
70,2018-04-07,8.0
71,2018-04-14,6.999999999999999
72,2018-04-21,6.999999999999999
73,2018-04-28,6.0
74,2018-05-05,6.999999999999999
75,2018-05-12,6.0
76,2018-05-19,5.0
77,2018-05-26,6.0
78,2018-06-02,6.0
79,2018-06-09,5.0
80,2018-06-16,6.0
81,2018-06-23,6.0
82,2018-06-30,5.0
83,2018-07-07,5.0
84,2018-07-14,5.0
85,2018-07-21,5.0
86,2018-07-28,5.0
87,2018-08-04,4.0
88,2018-08-11,4.0
89,2018-08-18,6.0
90,2018-08-25,3.0
91,2018-09-01,4.0
92,2018-09-08,4.0
93,2018-09-15,5.0
94,2018-09-22,5.0
95,2018-09-29,4.0
96,2018-10-06,4.0
97,2018-10-13,5.0
98,2018-10-20,3.0
99,2018-10-27,4.0
100,2018-11-03,5.0
101,2018-11-10,4.0
102,2018-11-17,4.0
103,2018-11-24,5.0
104,2018-12-01,4.0
105,2018-12-08,5.0
106,2018-12-15,4.0
107,2018-12-22,4.0
108,2018-12-29,6.0
109,2019-01-05,5.0
110,2019-01-12,5.0
111,2019-01-19,5.0
112,2019-01-26,6.0
113,2019-02-02,5.0
114,2019-02-09,4.0
115,2019-02-16,5.0
116,2019-02-23,5.0
117,2019-03-02,5.0
118,2019-03-09,5.0
119,2019-03-16,5.0
120,2019-03-23,4.0
121,2019-03-30,5.0
122,2019-04-06,4.0
123,2019-04-13,4.0
124,2019-04-20,5.0
125,2019-04-27,5.0
126,2019-05-04,4.0
127,2019-05-11,4.0
128,2019-05-18,4.0
129,2019-05-25,4.0
130,2019-06-01,3.0
131,2019-06-08,5.0
132,2019-06-15,4.0
133,2019-06-22,3.0
134,2019-06-29,4.0
135,2019-07-06,3.0
136,2019-07-13,4.0
137,2019-07-20,4.0
138,2019-07-27,3.0
139,2019-08-03,4.0
140,2019-08-10,4.0
141,2019-08-17,4.0
142,2019-08-24,4.0
143,2019-08-31,3.0
144,2019-09-07,4.0
145,2019-09-14,3.0
146,2019-09-21,3.0
147,2019-09-28,4.0
148,2019-10-05,3.0
149,2019-10-12,3.0
150,2019-10-19,4.0
151,2019-10-26,5.0
152,2019-11-02,5.0
153,2019-11-09,5.0
154,2019-11-16,5.0
155,2019-11-23,4.0
156,2019-11-30,4.0
157,2019-12-07,4.0
158,2019-12-14,3.0
159,2019-12-21,4.0
160,2019-12-28,6.0
161,2020-01-04,5.0
162,2020-01-11,6.0
163,2020-01-18,4.0
164,2020-01-25,4.482625482625482
165,2020-02-01,4.5347490347490345
166,2020-02-08,5.212355212355211
167,2020-02-15,5.003861003861004
168,2020-02-22,3.6486486486486482
169,2020-02-29,4.117760617760617
170,2020-03-07,2.9189189189189184
171,2020-03-14,2.3455598455598454
172,2020-03-21,2.137065637065637
173,2020-03-28,2.0849420849420848
174,2020-04-04,2.4498069498069497
175,2020-04-11,2.5540540540540535
176,2020-04-18,2.8146718146718146
177,2020-04-25,3.179536679536679
178,2020-05-02,2.3976833976833976
179,2020-05-09,3.4922779922779914
180,2020-05-16,3.231660231660231
181,2020-05-23,3.0752895752895753
182,2020-05-30,2.0849420849420848
183,2020-06-06,2.293436293436293
184,2020-06-13,2.7104247104247103
185,2020-06-20,1.8764478764478763
186,2020-06-27,2.8146718146718146
187,2020-07-04,2.658301158301158
188,2020-07-11,3.023166023166023
189,2020-07-18,3.023166023166023
190,2020-07-25,2.8667953667953663
191,2020-08-01,2.8146718146718146
192,2020-08-08,2.3976833976833976
193,2020-08-15,2.9189189189189184
194,2020-08-22,2.9189189189189184
195,2020-08-29,2.8667953667953663
196,2020-09-05,2.5540540540540535
197,2020-09-12,2.7625482625482625
198,2020-09-19,2.8146718146718146
199,2020-09-26,2.7625482625482625
200,2020-10-03,3.023166023166023
201,2020-10-10,2.4498069498069497
202,2020-10-17,2.4498069498069497
203,2020-10-24,2.189189189189189
204,2020-10-31,1.4594594594594592
205,2020-11-07,1.772200772200772
206,2020-11-14,2.0328185328185326
207,2020-11-21,1.772200772200772
208,2020-11-28,2.189189189189189
209,2020-12-05,1.72007722007722
210,2020-12-12,2.0849420849420848
211,2020-12-19,1.667953667953668
212,2020-12-26,2.6061776061776056
213,2021-01-02,2.5540540540540535
214,2021-01-09,2.3455598455598454
215,2021-01-16,2.3976833976833976
216,2021-01-23,2.241312741312741
217,2021-01-30,2.241312741312741
218,2021-02-06,1.9285714285714284
219,2021-02-13,2.6061776061776056
220,2021-02-20,2.137065637065637
221,2021-02-27,2.5540540540540535
222,2021-03-06,2.3455598455598454
223,2021-03-13,1.8764478764478763
224,2021-03-20,2.189189189189189
225,2021-03-27,2.971042471042471
226,2021-04-03,2.6061776061776056
227,2021-04-10,2.3976833976833976
228,2021-04-17,3.4922779922779914
229,2021-04-24,2.5540540540540535
230,2021-05-01,2.241312741312741
231,2021-05-08,2.3455598455598454
232,2021-05-15,2.241312741312741
233,2021-05-22,2.0328185328185326
234,2021-05-29,1.9285714285714284
235,2021-06-05,2.293436293436293
236,2021-06-12,1.9806949806949807
237,2021-06-19,1.772200772200772
238,2021-06-26,1.667953667953668
239,2021-07-03,2.0328185328185326
240,2021-07-10,1.9285714285714284
241,2021-07-17,1.8764478764478763
242,2021-07-24,1.8243243243243241
243,2021-07-31,1.9285714285714284
244,2021-08-07,1.772200772200772
245,2021-08-14,1.6158301158301156
246,2021-08-21,1.667953667953668
247,2021-08-28,1.6158301158301156
248,2021-09-04,2.0849420849420848
249,2021-09-11,1.9285714285714284
250,2021-09-18,2.293436293436293
251,2021-09-25,1.8243243243243241
252,2021-10-02,1.72007722007722
253,2021-10-09,1.9806949806949807
254,2021-10-16,2.137065637065637
255,2021-10-23,1.4073359073359073
256,2021-10-30,1.5637065637065635
257,2021-11-06,1.5637065637065635
258,2021-11-13,1.8243243243243241
259,2021-11-20,1.667953667953668
260,2021-11-27,2.137065637065637
261,2021-12-04,1.5115830115830116
262,2021-12-11,1.4073359073359073
263,2021-12-18,1.72007722007722
264,2021-12-25,1.9806949806949807
265,2022-01-01,2.501930501930502
266,2022-01-08,2.189189189189189
267,2022-01-15,2.137065637065637
268,2022-01-22,2.241312741312741
269,2022-01-29,2.501930501930502
270,2022-02-05,2.4498069498069497
271,2022-02-12,2.241312741312741
272,2022-02-19,2.3976833976833976
273,2022-02-26,1.5115830115830116
274,2022-03-05,2.0328185328185326
275,2022-03-12,2.0328185328185326
276,2022-03-19,1.9285714285714284
277,2022-03-26,1.8764478764478763
278,2022-04-02,2.241312741312741
279,2022-04-09,1.9285714285714284
280,2022-04-16,2.293436293436293
281,2022-04-23,1.8764478764478763
282,2022-04-30,2.189189189189189
283,2022-05-07,1.4594594594594592
284,2022-05-14,1.6158301158301156
285,2022-05-21,1.8764478764478763
286,2022-05-28,2.137065637065637
287,2022-06-04,1.772200772200772
288,2022-06-11,1.1988416988416988
289,2022-06-18,1.72007722007722
290,2022-06-25,1.4594594594594592
291,2022-07-02,1.5637065637065635
292,2022-07-09,1.9806949806949807
293,2022-07-16,1.5637065637065635
294,2022-07-23,1.5637065637065635
295,2022-07-30,1.9285714285714284
296,2022-08-06,1.0424710424710424
297,2022-08-13,1.72007722007722
298,2022-08-20,1.72007722007722
299,2022-08-27,1.5637065637065635
300,2022-09-03,1.5115830115830116
301,2022-09-10,1.3552123552123552
302,2022-09-17,1.250965250965251
303,2022-09-24,1.3552123552123552
304,2022-10-01,1.5637065637065635
305,2022-10-08,1.3552123552123552
306,2022-10-15,1.667953667953668
307,2022-10-22,1.5637065637065635
308,2022-10-29,1.4594594594594592
309,2022-11-05,1.250965250965251
310,2022-11-12,1.5637065637065635
311,2022-11-19,1.5115830115830116
312,2022-11-26,1.3030888030888028
313,2022-12-03,1.667953667953668
314,2022-12-10,1.4594594594594592
315,2022-12-17,1.3030888030888028
316,2022-12-24,1.1988416988416988
317,2022-12-31,1.4073359073359073
318,2023-01-07,1.8243243243243241
319,2023-01-14,1.9285714285714284
320,2023-01-21,2.293436293436293
321,2023-01-28,1.9285714285714284
322,2023-02-04,1.8243243243243241
323,2023-02-11,1.5637065637065635
324,2023-02-18,1.9285714285714284
325,2023-02-25,2.658301158301158
326,2023-03-04,1.667953667953668
327,2023-03-11,2.0328185328185326
328,2023-03-18,2.0328185328185326
329,2023-03-25,1.5115830115830116
330,2023-04-01,1.5637065637065635
331,2023-04-08,2.0328185328185326
332,2023-04-15,2.5540540540540535
333,2023-04-22,1.9806949806949807
334,2023-04-29,2.0328185328185326
335,2023-05-06,1.8243243243243241
336,2023-05-13,1.772200772200772
337,2023-05-20,1.667953667953668
338,2023-05-27,1.4594594594594592
339,2023-06-03,1.9285714285714284
340,2023-06-10,2.0849420849420848
341,2023-06-17,1.72007722007722
342,2023-06-24,1.3030888030888028
343,2023-07-01,1.667953667953668
344,2023-07-08,1.8764478764478763
345,2023-07-15,1.5637065637065635
346,2023-07-22,1.1988416988416988
347,2023-07-29,1.0424710424710424
348,2023-08-05,1.1467181467181464
349,2023-08-12,1.4594594594594592
350,2023-08-19,1.5115830115830116
351,2023-08-26,1.3552123552123552
352,2023-09-02,1.4073359073359073
353,2023-09-09,1.3552123552123552
354,2023-09-16,1.1467181467181464
355,2023-09-23,1.0424710424710424
356,2023-09-30,1.6158301158301156
357,2023-10-07,2.0328185328185326
358,2023-10-14,2.8146718146718146
359,2023-10-21,2.241312741312741
360,2023-10-28,2.137065637065637
361,2023-11-04,1.772200772200772
362,2023-11-11,1.72007722007722
363,2023-11-18,1.3552123552123552
364,2023-11-25,1.667953667953668
365,2023-12-02,1.1988416988416988
366,2023-12-09,1.3552123552123552
367,2023-12-16,0.9382239382239381
368,2023-12-23,1.250965250965251
369,2023-12-30,1.8243243243243241
370,2024-01-06,2.189189189189189
371,2024-01-13,1.8764478764478763
372,2024-01-20,1.5637065637065635
373,2024-01-27,1.8764478764478763
374,2024-02-03,1.772200772200772
375,2024-02-10,1.72007722007722
376,2024-02-17,1.72007722007722
377,2024-02-24,1.6158301158301156
378,2024-03-02,1.5115830115830116
379,2024-03-09,1.0945945945945945
380,2024-03-16,1.1988416988416988
381,2024-03-23,1.250965250965251
382,2024-03-30,0.886100386100386
383,2024-04-06,0.9382239382239381
384,2024-04-13,1.1988416988416988
385,2024-04-20,1.0424710424710424
386,2024-04-27,1.0945945945945945
387,2024-05-04,1.0945945945945945
388,2024-05-11,0.833976833976834
389,2024-05-18,0.886100386100386
390,2024-05-25,0.7297297297297296
