Search Term,what the health
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,0
2017-03-11,0
2017-03-18,0
2017-03-25,0
2017-04-01,0
2017-04-08,2
2017-04-15,3
2017-04-22,3
2017-04-29,3
2017-05-06,2
2017-05-13,2
2017-05-20,1
2017-05-27,2
2017-06-03,2
2017-06-10,6
2017-06-17,32
2017-06-24,53
2017-07-01,67
2017-07-08,94
2017-07-15,99
2017-07-22,100
2017-07-29,87
2017-08-05,96
2017-08-12,62
2017-08-19,48
2017-08-26,39
2017-09-02,34
2017-09-09,26
2017-09-16,23
2017-09-23,21
2017-09-30,20
2017-10-07,20
2017-10-14,17
2017-10-21,17
2017-10-28,13
2017-11-04,14
2017-11-11,16
2017-11-18,6
2017-11-25,9
2017-12-02,13
2017-12-09,10
2017-12-16,10
2017-12-23,13
2017-12-30,15
2018-01-06,14
2018-01-13,13
2018-01-20,12
2018-01-27,12
2018-02-03,10
2018-02-10,9
2018-02-17,10
2018-02-24,9
2018-03-03,9
2018-03-10,8
2018-03-17,8
2018-03-24,8
2018-03-31,8
2018-04-07,8
2018-04-14,7
2018-04-21,7
2018-04-28,6
2018-05-05,7
2018-05-12,6
2018-05-19,5
2018-05-26,6
2018-06-02,6
2018-06-09,5
2018-06-16,6
2018-06-23,6
2018-06-30,5
2018-07-07,5
2018-07-14,5
2018-07-21,5
2018-07-28,5
2018-08-04,4
2018-08-11,4
2018-08-18,6
2018-08-25,3
2018-09-01,4
2018-09-08,4
2018-09-15,5
2018-09-22,5
2018-09-29,4
2018-10-06,4
2018-10-13,5
2018-10-20,3
2018-10-27,4
2018-11-03,5
2018-11-10,4
2018-11-17,4
2018-11-24,5
2018-12-01,4
2018-12-08,5
2018-12-15,4
2018-12-22,4
2018-12-29,6
2019-01-05,5
2019-01-12,5
2019-01-19,5
2019-01-26,6
2019-02-02,5
2019-02-09,4
2019-02-16,5
2019-02-23,5
2019-03-02,5
2019-03-09,5
2019-03-16,5
2019-03-23,4
2019-03-30,5
2019-04-06,4
2019-04-13,4
2019-04-20,5
2019-04-27,5
2019-05-04,4
2019-05-11,4
2019-05-18,4
2019-05-25,4
2019-06-01,3
2019-06-08,5
2019-06-15,4
2019-06-22,3
2019-06-29,4
2019-07-06,3
2019-07-13,4
2019-07-20,4
2019-07-27,3
2019-08-03,4
2019-08-10,4
2019-08-17,4
2019-08-24,4
2019-08-31,3
2019-09-07,4
2019-09-14,3
2019-09-21,3
2019-09-28,4
2019-10-05,3
2019-10-12,3
2019-10-19,4
2019-10-26,5
2019-11-02,5
2019-11-09,5
2019-11-16,5
2019-11-23,4
2019-11-30,4
2019-12-07,4
2019-12-14,3
2019-12-21,4
2019-12-28,6
2020-01-04,5
2020-01-11,6
2020-01-18,4
2020-01-25,4
2020-02-01,5
2020-02-08,5
2020-02-15,5
2020-02-22,4
2020-02-29,4