,Search Term,vegan restaurants near me
0,2012-11-24,0.0
1,2012-12-01,0.0
2,2012-12-08,0.0
3,2012-12-15,0.0
4,2012-12-22,0.0
5,2012-12-29,0.0
6,2013-01-05,0.0
7,2013-01-12,0.0
8,2013-01-19,0.0
9,2013-01-26,0.0
10,2013-02-02,0.0
11,2013-02-09,0.0
12,2013-02-16,0.0
13,2013-02-23,0.0
14,2013-03-02,0.0
15,2013-03-09,0.0
16,2013-03-16,0.0
17,2013-03-23,0.0
18,2013-03-30,0.0
19,2013-04-06,0.0
20,2013-04-13,0.0
21,2013-04-20,0.0
22,2013-04-27,2.2314049586776856
23,2013-05-04,0.0
24,2013-05-11,0.0
25,2013-05-18,0.0
26,2013-05-25,0.0
27,2013-06-01,0.0
28,2013-06-08,0.0
29,2013-06-15,0.0
30,2013-06-22,0.0
31,2013-06-29,0.0
32,2013-07-06,0.0
33,2013-07-13,0.0
34,2013-07-20,0.0
35,2013-07-27,0.0
36,2013-08-03,0.0
37,2013-08-10,0.0
38,2013-08-17,0.0
39,2013-08-24,1.859504132231405
40,2013-08-31,1.487603305785124
41,2013-09-07,0.0
42,2013-09-14,0.0
43,2013-09-21,0.0
44,2013-09-28,1.487603305785124
45,2013-10-05,0.0
46,2013-10-12,0.0
47,2013-10-19,1.859504132231405
48,2013-10-26,0.0
49,2013-11-02,0.0
50,2013-11-09,0.0
51,2013-11-16,1.859504132231405
52,2013-11-23,0.0
53,2013-11-30,0.0
54,2013-12-07,0.0
55,2013-12-14,0.0
56,2013-12-21,0.0
57,2013-12-28,0.0
58,2014-01-04,0.0
59,2014-01-11,0.0
60,2014-01-18,2.2314049586776856
61,2014-01-25,2.2314049586776856
62,2014-02-01,2.2314049586776856
63,2014-02-08,2.2314049586776856
64,2014-02-15,2.2314049586776856
65,2014-02-22,1.487603305785124
66,2014-03-01,1.859504132231405
67,2014-03-08,4.090909090909091
68,2014-03-15,3.71900826446281
69,2014-03-22,2.603305785123967
70,2014-03-29,3.347107438016529
71,2014-04-05,3.71900826446281
72,2014-04-12,3.347107438016529
73,2014-04-19,2.603305785123967
74,2014-04-26,1.859504132231405
75,2014-05-03,2.975206611570248
76,2014-05-10,3.347107438016529
77,2014-05-17,2.603305785123967
78,2014-05-24,2.603305785123967
79,2014-05-31,2.2314049586776856
80,2014-06-07,2.2314049586776856
81,2014-06-14,4.090909090909091
82,2014-06-21,2.603305785123967
83,2014-06-28,2.2314049586776856
84,2014-07-05,3.71900826446281
85,2014-07-12,2.975206611570248
86,2014-07-19,3.71900826446281
87,2014-07-26,4.090909090909091
88,2014-08-02,4.090909090909091
89,2014-08-09,4.8347107438016526
90,2014-08-16,4.462809917355371
91,2014-08-23,4.090909090909091
92,2014-08-30,4.090909090909091
93,2014-09-06,2.975206611570248
94,2014-09-13,5.206611570247934
95,2014-09-20,5.950413223140496
96,2014-09-27,4.090909090909091
97,2014-10-04,5.206611570247934
98,2014-10-11,4.090909090909091
99,2014-10-18,4.462809917355371
100,2014-10-25,4.090909090909091
101,2014-11-01,4.090909090909091
102,2014-11-08,2.975206611570248
103,2014-11-15,2.2314049586776856
104,2014-11-22,2.2314049586776856
105,2014-11-29,3.71900826446281
106,2014-12-06,2.975206611570248
107,2014-12-13,2.2314049586776856
108,2014-12-20,2.975206611570248
109,2014-12-27,4.462809917355371
110,2015-01-03,4.090909090909091
111,2015-01-10,3.347107438016529
112,2015-01-17,3.71900826446281
113,2015-01-24,3.347107438016529
114,2015-01-31,3.347107438016529
115,2015-02-07,3.71900826446281
116,2015-02-14,5.578512396694215
117,2015-02-21,6.322314049586776
118,2015-02-28,8.181818181818182
119,2015-03-07,7.0661157024793395
120,2015-03-14,7.8099173553718995
121,2015-03-21,7.43801652892562
122,2015-03-28,8.181818181818182
123,2015-04-04,8.553719008264462
124,2015-04-11,6.322314049586776
125,2015-04-18,4.8347107438016526
126,2015-04-25,6.322314049586776
127,2015-05-02,6.694214876033058
128,2015-05-09,7.0661157024793395
129,2015-05-16,6.322314049586776
130,2015-05-23,6.322314049586776
131,2015-05-30,5.206611570247934
132,2015-06-06,8.181818181818182
133,2015-06-13,7.8099173553718995
134,2015-06-20,7.8099173553718995
135,2015-06-27,10.413223140495868
136,2015-07-04,13.388429752066116
137,2015-07-11,12.272727272727273
138,2015-07-18,11.900826446280991
139,2015-07-25,11.900826446280991
140,2015-08-01,11.900826446280991
141,2015-08-08,13.016528925619832
142,2015-08-15,13.016528925619832
143,2015-08-22,12.272727272727273
144,2015-08-29,11.15702479338843
145,2015-09-05,9.669421487603305
146,2015-09-12,11.15702479338843
147,2015-09-19,11.15702479338843
148,2015-09-26,10.041322314049587
149,2015-10-03,9.297520661157025
150,2015-10-10,11.900826446280991
151,2015-10-17,10.78512396694215
152,2015-10-24,10.78512396694215
153,2015-10-31,11.15702479338843
154,2015-11-07,12.644628099173552
155,2015-11-14,11.15702479338843
156,2015-11-21,10.78512396694215
157,2015-11-28,9.297520661157025
158,2015-12-05,10.041322314049587
159,2015-12-12,11.528925619834709
160,2015-12-19,14.50413223140496
161,2015-12-26,20.826446280991735
162,2016-01-02,17.851239669421485
163,2016-01-09,18.223140495867767
164,2016-01-16,17.479338842975206
165,2016-01-23,15.991735537190083
166,2016-01-30,15.991735537190083
167,2016-02-06,17.479338842975206
168,2016-02-13,19.710743801652892
169,2016-02-20,18.96694214876033
170,2016-02-27,20.082644628099175
171,2016-03-05,19.33884297520661
172,2016-03-12,23.429752066115704
173,2016-03-19,23.801652892561982
174,2016-03-26,23.429752066115704
175,2016-04-02,24.545454545454547
176,2016-04-09,26.404958677685947
177,2016-04-16,25.66115702479339
178,2016-04-23,22.68595041322314
179,2016-04-30,27.892561983471076
180,2016-05-07,27.52066115702479
181,2016-05-14,26.404958677685947
182,2016-05-21,26.404958677685947
183,2016-05-28,28.636363636363633
184,2016-06-04,29.75206611570248
185,2016-06-11,29.00826446280992
186,2016-06-18,28.636363636363633
187,2016-06-25,28.636363636363633
188,2016-07-02,30.123966942148762
189,2016-07-09,30.123966942148762
190,2016-07-16,33.471074380165284
191,2016-07-23,33.471074380165284
192,2016-07-30,30.49586776859504
193,2016-08-06,27.892561983471076
194,2016-08-13,29.00826446280992
195,2016-08-20,33.471074380165284
196,2016-08-27,37.1900826446281
197,2016-09-03,33.099173553719005
198,2016-09-10,29.00826446280992
199,2016-09-17,33.84297520661157
200,2016-09-24,31.239669421487598
201,2016-10-01,29.75206611570248
202,2016-10-08,31.983471074380166
203,2016-10-15,25.289256198347104
204,2016-10-22,18.96694214876033
205,2016-10-29,23.429752066115704
206,2016-11-05,28.636363636363633
207,2016-11-12,25.66115702479339
208,2016-11-19,27.148760330578508
209,2016-11-26,26.0
210,2016-12-03,28.000000000000004
211,2016-12-10,28.000000000000004
212,2016-12-17,31.000000000000007
213,2016-12-24,32.0
214,2016-12-31,35.0
215,2017-01-07,31.000000000000007
216,2017-01-14,32.0
217,2017-01-21,34.0
218,2017-01-28,32.99999999999999
219,2017-02-04,32.0
220,2017-02-11,40.0
221,2017-02-18,39.0
222,2017-02-25,37.0
223,2017-03-04,36.00000000000001
224,2017-03-11,38.0
225,2017-03-18,40.0
226,2017-03-25,40.0
227,2017-04-01,39.0
228,2017-04-08,40.0
229,2017-04-15,35.0
230,2017-04-22,28.000000000000004
231,2017-04-29,29.000000000000004
232,2017-05-06,26.0
233,2017-05-13,32.0
234,2017-05-20,35.0
235,2017-05-27,43.0
236,2017-06-03,41.0
237,2017-06-10,46.0
238,2017-06-17,50.0
239,2017-06-24,65.0
240,2017-07-01,65.99999999999999
241,2017-07-08,78.0
242,2017-07-15,87.00000000000001
243,2017-07-22,78.0
244,2017-07-29,85.0
245,2017-08-05,85.0
246,2017-08-12,89.0
247,2017-08-19,85.0
248,2017-08-26,81.0
249,2017-09-02,81.0
250,2017-09-09,79.0
251,2017-09-16,79.0
252,2017-09-23,60.0
253,2017-09-30,75.0
254,2017-10-07,75.0
255,2017-10-14,71.0
256,2017-10-21,68.0
257,2017-10-28,61.0
258,2017-11-04,63.0
259,2017-11-11,54.0
260,2017-11-18,58.00000000000001
261,2017-11-25,57.00000000000001
262,2017-12-02,47.0
263,2017-12-09,45.0
264,2017-12-16,49.00000000000001
265,2017-12-23,57.00000000000001
266,2017-12-30,60.0
267,2018-01-06,62.000000000000014
268,2018-01-13,65.99999999999999
269,2018-01-20,71.0
270,2018-01-27,69.0
271,2018-02-03,63.0
272,2018-02-10,76.0
273,2018-02-17,76.0
274,2018-02-24,71.0
275,2018-03-03,71.0
276,2018-03-10,72.00000000000001
277,2018-03-17,72.00000000000001
278,2018-03-24,83.0
279,2018-03-31,77.00000000000001
280,2018-04-07,68.0
281,2018-04-14,64.0
282,2018-04-21,60.0
283,2018-04-28,51.0
284,2018-05-05,51.0
285,2018-05-12,48.00000000000001
286,2018-05-19,47.0
287,2018-05-26,50.0
288,2018-06-02,53.0
289,2018-06-09,62.000000000000014
290,2018-06-16,75.0
291,2018-06-23,78.0
292,2018-06-30,78.0
293,2018-07-07,81.0
294,2018-07-14,83.0
295,2018-07-21,79.0
296,2018-07-28,80.0
297,2018-08-04,80.0
298,2018-08-11,77.00000000000001
299,2018-08-18,69.0
300,2018-08-25,67.0
301,2018-09-01,63.0
302,2018-09-08,54.0
303,2018-09-15,54.0
304,2018-09-22,51.0
305,2018-09-29,51.0
306,2018-10-06,55.00000000000001
307,2018-10-13,57.00000000000001
308,2018-10-20,51.0
309,2018-10-27,50.0
310,2018-11-03,51.0
311,2018-11-10,50.0
312,2018-11-17,51.0
313,2018-11-24,48.00000000000001
314,2018-12-01,48.00000000000001
315,2018-12-08,48.00000000000001
316,2018-12-15,52.0
317,2018-12-22,64.0
318,2018-12-29,71.0
319,2019-01-05,57.00000000000001
320,2019-01-12,56.00000000000001
321,2019-01-19,63.0
322,2019-01-26,57.00000000000001
323,2019-02-02,59.00000000000001
324,2019-02-09,62.000000000000014
325,2019-02-16,65.99999999999999
326,2019-02-23,52.0
327,2019-03-02,59.00000000000001
328,2019-03-09,65.99999999999999
329,2019-03-16,69.0
330,2019-03-23,68.0
331,2019-03-30,72.00000000000001
332,2019-04-06,68.0
333,2019-04-13,76.0
334,2019-04-20,68.0
335,2019-04-27,71.0
336,2019-05-04,73.00000000000001
337,2019-05-11,71.0
338,2019-05-18,69.0
339,2019-05-25,67.0
340,2019-06-01,72.00000000000001
341,2019-06-08,76.0
342,2019-06-15,77.00000000000001
343,2019-06-22,80.0
344,2019-06-29,79.0
345,2019-07-06,77.00000000000001
346,2019-07-13,81.0
347,2019-07-20,78.0
348,2019-07-27,78.0
349,2019-08-03,74.0
350,2019-08-10,80.0
351,2019-08-17,71.0
352,2019-08-24,70.0
353,2019-08-31,70.0
354,2019-09-07,62.000000000000014
355,2019-09-14,62.000000000000014
356,2019-09-21,63.0
357,2019-09-28,68.0
358,2019-10-05,60.0
359,2019-10-12,65.0
360,2019-10-19,70.0
361,2019-10-26,69.0
362,2019-11-02,70.0
363,2019-11-09,75.0
364,2019-11-16,77.00000000000001
365,2019-11-23,73.00000000000001
366,2019-11-30,64.0
367,2019-12-07,71.0
368,2019-12-14,67.0
369,2019-12-21,84.00000000000001
370,2019-12-28,100.0
371,2020-01-04,90.0
372,2020-01-11,80.0
373,2020-01-18,86.0
374,2020-01-25,73.79835390946504
375,2020-02-01,71.93004115226339
376,2020-02-08,85.94238683127573
377,2020-02-15,79.40329218106997
378,2020-02-22,70.06172839506173
379,2020-02-29,72.8641975308642
380,2020-03-07,60.720164609053505
381,2020-03-14,24.288065843621403
382,2020-03-21,11.209876543209878
383,2020-03-28,13.078189300411525
384,2020-04-04,12.144032921810702
385,2020-04-11,14.012345679012347
386,2020-04-18,16.81481481481482
387,2020-04-25,20.55144032921811
388,2020-05-02,27.090534979423875
389,2020-05-09,28.958847736625522
390,2020-05-16,31.761316872427987
391,2020-05-23,33.62962962962964
392,2020-05-30,39.23456790123458
393,2020-06-06,49.510288065843625
394,2020-06-13,52.3127572016461
395,2020-06-20,57.917695473251044
396,2020-06-27,60.720164609053505
397,2020-07-04,62.588477366255155
398,2020-07-11,59.78600823045268
399,2020-07-18,53.246913580246925
400,2020-07-25,53.246913580246925
401,2020-08-01,57.917695473251044
402,2020-08-08,66.32510288065845
403,2020-08-15,64.4567901234568
404,2020-08-22,55.11522633744856
405,2020-08-29,66.32510288065845
406,2020-09-05,63.52263374485597
407,2020-09-12,57.917695473251044
408,2020-09-19,58.85185185185187
409,2020-09-26,56.04938271604939
410,2020-10-03,58.85185185185187
411,2020-10-10,60.720164609053505
412,2020-10-17,56.04938271604939
413,2020-10-24,49.510288065843625
414,2020-10-31,42.97119341563786
415,2020-11-07,45.77366255144034
416,2020-11-14,42.037037037037045
417,2020-11-21,38.30041152263375
418,2020-11-28,41.10288065843622
419,2020-12-05,40.1687242798354
420,2020-12-12,40.1687242798354
421,2020-12-19,44.83950617283951
422,2020-12-26,51.378600823045275
423,2021-01-02,55.11522633744856
424,2021-01-09,55.11522633744856
425,2021-01-16,56.04938271604939
426,2021-01-23,48.57613168724281
427,2021-01-30,44.83950617283951
428,2021-02-06,47.64197530864198
429,2021-02-13,54.18106995884775
430,2021-02-20,58.85185185185187
431,2021-02-27,56.04938271604939
432,2021-03-06,59.78600823045268
433,2021-03-13,63.52263374485597
434,2021-03-20,65.39094650205762
435,2021-03-27,69.12757201646092
436,2021-04-03,72.8641975308642
437,2021-04-10,64.4567901234568
438,2021-04-17,67.25925925925928
439,2021-04-24,68.19341563786008
440,2021-05-01,68.19341563786008
441,2021-05-08,69.12757201646092
442,2021-05-15,74.73251028806585
443,2021-05-22,72.8641975308642
444,2021-05-29,72.8641975308642
445,2021-06-05,72.8641975308642
446,2021-06-12,80.3374485596708
447,2021-06-19,82.20576131687244
448,2021-06-26,79.40329218106997
449,2021-07-03,82.20576131687244
450,2021-07-10,86.87654320987656
451,2021-07-17,93.41563786008233
452,2021-07-24,85.00823045267492
453,2021-07-31,85.00823045267492
454,2021-08-07,85.94238683127573
455,2021-08-14,82.20576131687244
456,2021-08-21,80.3374485596708
457,2021-08-28,79.40329218106997
458,2021-09-04,76.6008230452675
459,2021-09-11,70.06172839506173
460,2021-09-18,69.12757201646092
461,2021-09-25,68.19341563786008
462,2021-10-02,67.25925925925928
463,2021-10-09,70.99588477366257
464,2021-10-16,69.12757201646092
465,2021-10-23,59.78600823045268
466,2021-10-30,64.4567901234568
467,2021-11-06,63.52263374485597
468,2021-11-13,57.917695473251044
469,2021-11-20,56.04938271604939
470,2021-11-27,50.44444444444445
471,2021-12-04,60.720164609053505
472,2021-12-11,55.11522633744856
473,2021-12-18,54.18106995884775
474,2021-12-25,70.06172839506173
475,2022-01-01,54.18106995884775
476,2022-01-08,51.378600823045275
477,2022-01-15,47.64197530864198
478,2022-01-22,45.77366255144034
479,2022-01-29,45.77366255144034
480,2022-02-05,59.78600823045268
481,2022-02-12,63.52263374485597
482,2022-02-19,52.3127572016461
483,2022-02-26,58.85185185185187
484,2022-03-05,56.98353909465021
485,2022-03-12,64.4567901234568
486,2022-03-19,60.720164609053505
487,2022-03-26,58.85185185185187
488,2022-04-02,61.65432098765433
489,2022-04-09,68.19341563786008
490,2022-04-16,56.04938271604939
491,2022-04-23,56.98353909465021
492,2022-04-30,61.65432098765433
493,2022-05-07,56.98353909465021
494,2022-05-14,49.510288065843625
495,2022-05-21,54.18106995884775
496,2022-05-28,56.04938271604939
497,2022-06-04,53.246913580246925
498,2022-06-11,56.98353909465021
499,2022-06-18,56.98353909465021
500,2022-06-25,57.917695473251044
501,2022-07-02,59.78600823045268
502,2022-07-09,55.11522633744856
503,2022-07-16,57.917695473251044
504,2022-07-23,53.246913580246925
505,2022-07-30,54.18106995884775
506,2022-08-06,58.85185185185187
507,2022-08-13,54.18106995884775
508,2022-08-20,49.510288065843625
509,2022-08-27,51.378600823045275
510,2022-09-03,50.44444444444445
511,2022-09-10,47.64197530864198
512,2022-09-17,48.57613168724281
513,2022-09-24,42.97119341563786
514,2022-10-01,47.64197530864198
515,2022-10-08,49.510288065843625
516,2022-10-15,42.037037037037045
517,2022-10-22,41.10288065843622
518,2022-10-29,39.23456790123458
519,2022-11-05,42.037037037037045
520,2022-11-12,38.30041152263375
521,2022-11-19,35.497942386831284
522,2022-11-26,34.56378600823046
523,2022-12-03,38.30041152263375
524,2022-12-10,37.36625514403293
525,2022-12-17,39.23456790123458
526,2022-12-24,55.11522633744856
527,2022-12-31,51.378600823045275
528,2023-01-07,47.64197530864198
529,2023-01-14,47.64197530864198
530,2023-01-21,41.10288065843622
531,2023-01-28,42.037037037037045
532,2023-02-04,41.10288065843622
533,2023-02-11,49.510288065843625
534,2023-02-18,50.44444444444445
535,2023-02-25,44.83950617283951
536,2023-03-04,47.64197530864198
537,2023-03-11,48.57613168724281
538,2023-03-18,49.510288065843625
539,2023-03-25,49.510288065843625
540,2023-04-01,47.64197530864198
541,2023-04-08,45.77366255144034
542,2023-04-15,45.77366255144034
543,2023-04-22,43.90534979423869
544,2023-04-29,43.90534979423869
545,2023-05-06,45.77366255144034
546,2023-05-13,42.97119341563786
547,2023-05-20,48.57613168724281
548,2023-05-27,49.510288065843625
549,2023-06-03,45.77366255144034
550,2023-06-10,49.510288065843625
551,2023-06-17,52.3127572016461
552,2023-06-24,48.57613168724281
553,2023-07-01,54.18106995884775
554,2023-07-08,53.246913580246925
555,2023-07-15,42.037037037037045
556,2023-07-22,42.97119341563786
557,2023-07-29,43.90534979423869
558,2023-08-05,44.83950617283951
559,2023-08-12,49.510288065843625
560,2023-08-19,42.97119341563786
561,2023-08-26,41.10288065843622
562,2023-09-02,40.1687242798354
563,2023-09-09,36.4320987654321
564,2023-09-16,37.36625514403293
565,2023-09-23,36.4320987654321
566,2023-09-30,35.497942386831284
567,2023-10-07,35.497942386831284
568,2023-10-14,37.36625514403293
569,2023-10-21,33.62962962962964
570,2023-10-28,33.62962962962964
571,2023-11-04,32.69547325102881
572,2023-11-11,34.56378600823046
573,2023-11-18,34.56378600823046
574,2023-11-25,31.761316872427987
575,2023-12-02,29.89300411522634
576,2023-12-09,28.024691358024693
577,2023-12-16,28.958847736625522
578,2023-12-23,35.497942386831284
579,2023-12-30,42.037037037037045
580,2024-01-06,41.10288065843622
581,2024-01-13,36.4320987654321
582,2024-01-20,34.56378600823046
583,2024-01-27,35.497942386831284
584,2024-02-03,28.958847736625522
585,2024-02-10,35.497942386831284
586,2024-02-17,33.62962962962964
587,2024-02-24,30.827160493827165
588,2024-03-02,28.958847736625522
589,2024-03-09,31.761316872427987
590,2024-03-16,29.89300411522634
591,2024-03-23,34.56378600823046
592,2024-03-30,29.89300411522634
593,2024-04-06,30.827160493827165
594,2024-04-13,29.89300411522634
595,2024-04-20,27.090534979423875
596,2024-04-27,29.89300411522634
597,2024-05-04,29.89300411522634
598,2024-05-11,29.89300411522634
599,2024-05-18,28.958847736625522
600,2024-05-25,29.89300411522634
