Search Term,vegetarian recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,47
2008-12-06,51
2008-12-13,52
2008-12-20,52
2008-12-27,69
2009-01-03,65
2009-01-10,61
2009-01-17,52
2009-01-24,54
2009-01-31,51
2009-02-07,48
2009-02-14,47
2009-02-21,54
2009-02-28,51
2009-03-07,49
2009-03-14,51
2009-03-21,50
2009-03-28,53
2009-04-04,65
2009-04-11,50
2009-04-18,51
2009-04-25,57
2009-05-02,60
2009-05-09,54
2009-05-16,54
2009-05-23,54
2009-05-30,53
2009-06-06,57
2009-06-13,58
2009-06-20,54
2009-06-27,58
2009-07-04,60
2009-07-11,63
2009-07-18,62
2009-07-25,67
2009-08-01,64
2009-08-08,66
2009-08-15,65
2009-08-22,65
2009-08-29,62
2009-09-05,64
2009-09-12,67
2009-09-19,69
2009-09-26,66
2009-10-03,67
2009-10-10,71
2009-10-17,70
2009-10-24,73
2009-10-31,77
2009-11-07,76
2009-11-14,83
2009-11-21,84
2009-11-28,75
2009-12-05,73
2009-12-12,79
2009-12-19,94
2009-12-26,98
2010-01-02,100
2010-01-09,90
2010-01-16,85
2010-01-23,85
2010-01-30,86
2010-02-06,86
2010-02-13,86
2010-02-20,84
2010-02-27,81
2010-03-06,83
2010-03-13,83
2010-03-20,89
2010-03-27,91
2010-04-03,75
2010-04-10,76
2010-04-17,78
2010-04-24,80
2010-05-01,76
2010-05-08,75
2010-05-15,78
2010-05-22,72
2010-05-29,74
2010-06-05,72
2010-06-12,75
2010-06-19,73
2010-06-26,75
2010-07-03,76
2010-07-10,67
2010-07-17,65
2010-07-24,66
2010-07-31,66
2010-08-07,69
2010-08-14,67
2010-08-21,67
2010-08-28,64
2010-09-04,67
2010-09-11,67
2010-09-18,70
2010-09-25,66
2010-10-02,73
2010-10-09,68
2010-10-16,67
2010-10-23,66
2010-10-30,69
2010-11-06,70
2010-11-13,98
2010-11-20,80
2010-11-27,64
2010-12-04,66
2010-12-11,67
2010-12-18,91
2010-12-25,81
2011-01-01,93
2011-01-08,70
2011-01-15,85
2011-01-22,69
2011-01-29,75
2011-02-05,70
2011-02-12,71
2011-02-19,66
2011-02-26,66
2011-03-05,79
2011-03-12,67
2011-03-19,66
2011-03-26,69
2011-04-02,67
2011-04-09,68
2011-04-16,71
2011-04-23,58
2011-04-30,62
2011-05-07,62
2011-05-14,61
2011-05-21,61
2011-05-28,66
2011-06-04,64
2011-06-11,63
2011-06-18,66
2011-06-25,65
2011-07-02,63
2011-07-09,66
2011-07-16,70
2011-07-23,79
2011-07-30,71
2011-08-06,67
2011-08-13,74
2011-08-20,71
2011-08-27,72
2011-09-03,75
2011-09-10,72
2011-09-17,79
2011-09-24,72
2011-10-01,71
2011-10-08,72
2011-10-15,65
2011-10-22,66
2011-10-29,69
2011-11-05,74
2011-11-12,77
2011-11-19,77
2011-11-26,66
2011-12-03,68
2011-12-10,69
2011-12-17,83
2011-12-24,80
2011-12-31,84
2012-01-07,79
2012-01-14,81
2012-01-21,75
2012-01-28,73
2012-02-04,73
2012-02-11,70
2012-02-18,75
2012-02-25,83
2012-03-03,71
2012-03-10,75
2012-03-17,67
2012-03-24,67
2012-03-31,73
2012-04-07,64
2012-04-14,74
2012-04-21,75
2012-04-28,70
2012-05-05,64
2012-05-12,67
2012-05-19,66
2012-05-26,65
2012-06-02,63
2012-06-09,69
2012-06-16,66
2012-06-23,63
2012-06-30,65
2012-07-07,70
2012-07-14,71
2012-07-21,69
2012-07-28,62
2012-08-04,62
2012-08-11,66
2012-08-18,68
2012-08-25,70
2012-09-01,66
2012-09-08,63
2012-09-15,63
2012-09-22,59
2012-09-29,66
2012-10-06,62
2012-10-13,63
2012-10-20,55
2012-10-27,56
2012-11-03,59
2012-11-10,62
2012-11-17,62
2012-11-24,59
2012-12-01,57
2012-12-08,60
2012-12-15,71
2012-12-22,67
2012-12-29,80