,Search Term,you are what you eat
0,2020-01-25,3.0
1,2020-02-01,2.0
2,2020-02-08,3.0
3,2020-02-15,2.0
4,2020-02-22,2.0
5,2020-02-29,2.0
6,2020-03-07,3.0
7,2020-03-14,3.0
8,2020-03-21,2.0
9,2020-03-28,2.0
10,2020-04-04,3.0
11,2020-04-11,2.0
12,2020-04-18,3.0
13,2020-04-25,3.0
14,2020-05-02,3.0
15,2020-05-09,2.0
16,2020-05-16,3.0
17,2020-05-23,2.0
18,2020-05-30,2.0
19,2020-06-06,2.0
20,2020-06-13,2.0
21,2020-06-20,2.0
22,2020-06-27,2.0
23,2020-07-04,2.0
24,2020-07-11,2.0
25,2020-07-18,2.0
26,2020-07-25,2.0
27,2020-08-01,2.0
28,2020-08-08,2.0
29,2020-08-15,2.0
30,2020-08-22,2.0
31,2020-08-29,2.0
32,2020-09-05,3.0
33,2020-09-12,3.0
34,2020-09-19,3.0
35,2020-09-26,3.0
36,2020-10-03,3.0
37,2020-10-10,3.0
38,2020-10-17,2.0
39,2020-10-24,2.0
40,2020-10-31,2.0
41,2020-11-07,2.0
42,2020-11-14,2.0
43,2020-11-21,2.0
44,2020-11-28,3.0
45,2020-12-05,2.0
46,2020-12-12,2.0
47,2020-12-19,1.0
48,2020-12-26,2.0
49,2021-01-02,2.0
50,2021-01-09,3.0
51,2021-01-16,3.0
52,2021-01-23,2.0
53,2021-01-30,2.0
54,2021-02-06,2.0
55,2021-02-13,2.0
56,2021-02-20,2.0
57,2021-02-27,3.0
58,2021-03-06,2.0
59,2021-03-13,2.0
60,2021-03-20,2.0
61,2021-03-27,2.0
62,2021-04-03,2.0
63,2021-04-10,2.0
64,2021-04-17,3.0
65,2021-04-24,2.0
66,2021-05-01,3.0
67,2021-05-08,3.0
68,2021-05-15,2.0
69,2021-05-22,5.0
70,2021-05-29,3.0
71,2021-06-05,2.0
72,2021-06-12,2.0
73,2021-06-19,2.0
74,2021-06-26,2.0
75,2021-07-03,2.0
76,2021-07-10,2.0
77,2021-07-17,1.0
78,2021-07-24,1.0
79,2021-07-31,2.0
80,2021-08-07,1.0
81,2021-08-14,2.0
82,2021-08-21,2.0
83,2021-08-28,2.0
84,2021-09-04,2.0
85,2021-09-11,2.0
86,2021-09-18,2.0
87,2021-09-25,3.0
88,2021-10-02,2.0
89,2021-10-09,2.0
90,2021-10-16,2.0
91,2021-10-23,2.0
92,2021-10-30,2.0
93,2021-11-06,2.0
94,2021-11-13,2.0
95,2021-11-20,2.0
96,2021-11-27,2.0
97,2021-12-04,2.0
98,2021-12-11,2.0
99,2021-12-18,1.0
100,2021-12-25,2.0
101,2022-01-01,6.0
102,2022-01-08,5.0
103,2022-01-15,5.0
104,2022-01-22,4.0
105,2022-01-29,4.0
106,2022-02-05,4.0
107,2022-02-12,3.0
108,2022-02-19,3.0
109,2022-02-26,3.0
110,2022-03-05,3.0
111,2022-03-12,3.0
112,2022-03-19,3.0
113,2022-03-26,3.0
114,2022-04-02,3.0
115,2022-04-09,3.0
116,2022-04-16,3.0
117,2022-04-23,3.0
118,2022-04-30,3.0
119,2022-05-07,3.0
120,2022-05-14,2.0
121,2022-05-21,2.0
122,2022-05-28,2.0
123,2022-06-04,2.0
124,2022-06-11,2.0
125,2022-06-18,2.0
126,2022-06-25,2.0
127,2022-07-02,2.0
128,2022-07-09,2.0
129,2022-07-16,2.0
130,2022-07-23,2.0
131,2022-07-30,2.0
132,2022-08-06,2.0
133,2022-08-13,2.0
134,2022-08-20,2.0
135,2022-08-27,2.0
136,2022-09-03,2.0
137,2022-09-10,2.0
138,2022-09-17,2.0
139,2022-09-24,2.0
140,2022-10-01,2.0
141,2022-10-08,3.0
142,2022-10-15,2.0
143,2022-10-22,2.0
144,2022-10-29,2.0
145,2022-11-05,2.0
146,2022-11-12,2.0
147,2022-11-19,2.0
148,2022-11-26,2.0
149,2022-12-03,2.0
150,2022-12-10,2.0
151,2022-12-17,2.0
152,2022-12-24,1.0
153,2022-12-31,3.0
154,2023-01-07,3.0
155,2023-01-14,3.0
156,2023-01-21,3.0
157,2023-01-28,3.0
158,2023-02-04,3.0
159,2023-02-11,2.0
160,2023-02-18,2.0
161,2023-02-25,2.0
162,2023-03-04,2.0
163,2023-03-11,2.0
164,2023-03-18,2.0
165,2023-03-25,2.0
166,2023-04-01,2.0
167,2023-04-08,3.0
168,2023-04-15,2.0
169,2023-04-22,3.0
170,2023-04-29,3.0
171,2023-05-06,2.0
172,2023-05-13,2.0
173,2023-05-20,2.0
174,2023-05-27,2.0
175,2023-06-03,2.0
176,2023-06-10,2.0
177,2023-06-17,2.0
178,2023-06-24,1.0
179,2023-07-01,2.0
180,2023-07-08,2.0
181,2023-07-15,1.0
182,2023-07-22,2.0
183,2023-07-29,1.0
184,2023-08-05,2.0
185,2023-08-12,2.0
186,2023-08-19,2.0
187,2023-08-26,2.0
188,2023-09-02,2.0
189,2023-09-09,2.0
190,2023-09-16,2.0
191,2023-09-23,2.0
192,2023-09-30,2.0
193,2023-10-07,2.0
194,2023-10-14,2.0
195,2023-10-21,2.0
196,2023-10-28,2.0
197,2023-11-04,2.0
198,2023-11-11,2.0
199,2023-11-18,2.0
200,2023-11-25,2.0
201,2023-12-02,2.0
202,2023-12-09,2.0
203,2023-12-16,2.0
204,2023-12-23,4.0
205,2023-12-30,100.0
206,2024-01-06,74.0
207,2024-01-13,38.0
208,2024-01-20,25.0
209,2024-01-27,19.0
210,2024-02-03,14.000000000000002
211,2024-02-10,10.0
212,2024-02-17,9.0
213,2024-02-24,8.0
214,2024-03-02,7.000000000000001
215,2024-03-09,6.0
216,2024-03-16,7.000000000000001
217,2024-03-23,6.0
218,2024-03-30,6.0
219,2024-04-06,5.0
220,2024-04-13,5.0
221,2024-04-20,5.0
222,2024-04-27,6.0
223,2024-05-04,5.0
224,2024-05-11,4.0
225,2024-05-18,3.0
226,2024-05-25,3.0
